Designator,Mid X,Mid Y,Rotation,Layer
C1,159.35,-109.1,180.0,top
C4,156.75,-125.25,270.0,top
D1,138.5,-106.74,90.0,top
D2,170.5,-126.35,180.0,top
D3,170.5,-130.0,0.0,top
D4,160.5,-114.6,90.0,top
F1,160.65,-99.2,0.0,top
J2,152.54,-100.0,180.0,top
J3,139.5,-119.54,270.0,top
Q1,150.06,-111.15,0.0,top
Q2,172.9,-111.0625,90.0,top
Q3,166.3775,-106.84,270.0,top
Q4,162.0,-122.6,90.0,top
Q5,172.45,-103.8,90.0,top
R1,157.0,-120.0,0.0,top
R10,174.1025,-120.55,180.0,top
R11,173.3,-107.2,90.0,top
R12,175.4,-110.35,90.0,top
R2,142.85,-127.35,0.0,top
R3,163.3,-114.6,90.0,top
R4,164.55,-122.6,90.0,top
R5,172.0,-107.2,270.0,top
R6,146.95,-114.9,270.0,top
R7,145.7,-114.90125,90.0,top
R8,169.25,-99.2,180.0,top
U1,150.555,-121.55,0.0,top
