"Bill of Materials					",,,,,,
"					",,,,,,
Item Name:,URL:,Price:,Quantity:,Use:,Ref (PCB Components):,Spares: (included in quantity)
12V Battery,https://a.co/d/iR5ZKYJ,$33.38,1,Power Source,,
DC Motor,https://www.aliexpress.com/item/1005008221484428.html,$17.89,1,Spinning Engine,,
"Silicone Grease	",https://www.aliexpress.com/item/1005008374157659.html,$3.65,1,Lubricant for moving parts,,
"Heat Shrink	",https://www.aliexpress.com/item/1005008146302901.html,$3.62,1,For exposed soldered wires,,
3D Print (Shipping),,$10.00,1,3D Print Shipping Costs,,
PCB,https://jlcpcb.com/,$4.78,1,Main Controller,,
M3 10mm Set Screws,https://www.aliexpress.com/item/4001081433504.html,$2.79,1,Main Assembly + Flywheel Screws,,
"M4 6mm Screws			",https://www.aliexpress.com/item/1005001785690381.html,$2.76,1,Motor Mounting Screws,,
M4 16mm Set Screws,https://www.aliexpress.com/item/1005008512534705.html,$4.69,1,Connecting Rod Screws,,
M8 25mm Screws,https://www.aliexpress.com/item/1005006090579821.html,$4.07,1,Output Gear Holder,,
5x8 Shaft Coupler,https://www.aliexpress.com/item/1005006305848755.html,$6.91,1,Motor to Gear Coupler,,
608ZZ Bearing,https://www.aliexpress.com/item/1005010525419357.html,$4.35,1,Spins output gear,,
18 AWG Wires,https://www.digikey.ca/en/products/detail/te-connectivity-aerospace-defense-and-marine/FLHTC0311-18-0/6061732,$4.00,2ft,,,
100uF Electrolytic Capacitor,https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/860020473008/5727062,$0.19,1,,C1,
0.1uF 0805 Ceramic Capacitor,https://www.digikey.ca/en/products/detail/kemet/C0805F104K1RACAUTO/26735352,$0.33,1,,C4,
MBR2045CT,https://www.digikey.ca/en/products/detail/smc-diode-solutions/MBR2045CT/6022134,$1.97,1,,D1,
SS14,https://www.digikey.ca/en/products/detail/taiwan-semiconductor-corporation/SS14/7369347,$0.68,2,,"D2,D3",
Green LED,https://www.digikey.ca/en/products/detail/w-rth-elektronik/151051VS04000/4490015,$0.38,1,ON LED,"J6,J9",
1206 Fuse 7A 32V,https://www.digikey.ca/en/products/detail/schurter-inc/3413-0326-22/2644167,$2.34,3,,F1,2
1x2 Terminal Block,https://www.digikey.ca/en/products/detail/te-connectivity-amp-connectors/282837-2/2187973,$2.20,2,"Power Input, Motor Power","J2,J3",
IRFZ44,https://www.digikey.ca/en/products/detail/infineon-technologies/IRFZ44NPBF/811772,$2.10,1,,Q1,
MMBT2222A,https://www.digikey.ca/en/products/detail/shenzhen-slkormicro-semicon-co-ltd/MMBT2222A/25880370,$0.30,2,,"Q2,Q5",
IRF9540N,https://www.digikey.ca/en/products/detail/infineon-technologies/IRF9540NPBF/812088,$2.89,1,,Q4,
1K 0402 Resistor,https://www.digikey.ca/en/products/detail/panasonic-electronic-components/ERJ-2RKF1001X/79729,$0.44,10,,"R1,R2,R5,R7",
1K 0603 Resistor,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0603FT1K00/1761077,$0.11,10,,R4,
4.7K 0402 Resistor,https://www.digikey.ca/en/products/detail/yageo/RC0402FR-074K7L/2827563,$0.16,10,LED Resistors,"R3,R10",
10K 0402 Resistor,https://www.digikey.ca/en/products/detail/yageo/RC0402JR-0710KL/726418,$0.10,10,,"R6,R8,R11",
10K 0603 Resistor,https://www.digikey.ca/en/products/detail/yageo/RC0603FR-0710KL/726880,$0.10,10,,R12,
NE555P,https://www.digikey.ca/en/products/detail/texas-instruments/NE555P/277057,$1.62,2,,U1,1
AOD4185,https://www.digikey.ca/en/products/detail/alpha-omega-semiconductor-inc/AOD4185/2353887,$1.82,1,,Q3,
0805 LED,https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/150080GS75000/4489915,$0.30,1,Onboard LED,D4,
10K Potentiometer,https://www.digikey.ca/en/products/detail/bourns-inc/PDB181-K425K-103B/3820304,$1.94,1,Speed Adjuster,,
PushButton,https://www.digikey.ca/en/products/detail/same-sky-formerly-cui-devices-/TS02-66-55-BK-160-LCR-D/15634374,$0.32,1,Start/Stop Buttons,,
DigiKey Shipping + GST,,$9.61,,,,
,,,,,,
,Total (CAD):,$132.79,,,,
,Total (USD):,$97.11,,,,
